id,target,epsilon,delta,tempo_inicio,tempo_fim,prediction
19,1,0.3,0.01,Sun Jul 25 20:20:13 -03 2021,Sun Jul 25 20:20:15 -03 2021,6420
0,1,0.2,0.1,Sun Jul 25 20:20:16 -03 2021,Sun Jul 25 20:20:17 -03 2021,5580
1,1,0.1,0.01,Sun Jul 25 20:20:18 -03 2021,Sun Jul 25 20:20:20 -03 2021,6752
1,0,0.1,0.1,Sun Jul 25 20:20:21 -03 2021,Sun Jul 25 20:20:22 -03 2021,1492471
15,8,0.4,0.05,Sun Jul 25 20:20:23 -03 2021,Sun Jul 25 20:20:24 -03 2021,67
14,1,0.4,0.01,Sun Jul 25 20:20:25 -03 2021,Sun Jul 25 20:20:27 -03 2021,8655
0,8,0.1,0.1,Sun Jul 25 20:20:28 -03 2021,Sun Jul 25 20:20:29 -03 2021,73
14,8,0.1,0.05,Sun Jul 25 20:20:30 -03 2021,Sun Jul 25 20:20:31 -03 2021,77
4,7,0.3,0.01,Sun Jul 25 20:20:32 -03 2021,Sun Jul 25 20:20:34 -03 2021,166719
0,1,0.1,0.05,Sun Jul 25 20:20:35 -03 2021,Sun Jul 25 20:20:36 -03 2021,7035
7,7,0.3,0.01,Sun Jul 25 20:20:37 -03 2021,Sun Jul 25 20:20:39 -03 2021,297361
9,1,0.4,0.1,Sun Jul 25 20:20:40 -03 2021,Sun Jul 25 20:20:41 -03 2021,7245
10,8,0.1,0.1,Sun Jul 25 20:20:42 -03 2021,Sun Jul 25 20:20:44 -03 2021,71
11,0,0.1,0.1,Sun Jul 25 20:20:45 -03 2021,Sun Jul 25 20:20:46 -03 2021,1405366
12,1,0.4,0.1,Sun Jul 25 20:20:47 -03 2021,Sun Jul 25 20:20:48 -03 2021,7795
13,7,0.2,0.01,Sun Jul 25 20:20:49 -03 2021,Sun Jul 25 20:20:51 -03 2021,243414
8,1,0.3,0.01,Sun Jul 25 20:20:52 -03 2021,Sun Jul 25 20:20:54 -03 2021,6044
8,8,0.3,0.1,Sun Jul 25 20:20:55 -03 2021,Sun Jul 25 20:20:56 -03 2021,68
14,0,0.1,0.05,Sun Jul 25 20:20:57 -03 2021,Sun Jul 25 20:20:58 -03 2021,1586708
4,8,0.2,0.01,Sun Jul 25 20:20:59 -03 2021,Sun Jul 25 20:21:01 -03 2021,81
10,8,0.3,0.05,Sun Jul 25 20:21:02 -03 2021,Sun Jul 25 20:21:03 -03 2021,90
19,8,0.2,0.1,Sun Jul 25 20:21:04 -03 2021,Sun Jul 25 20:21:05 -03 2021,66
15,0,0.1,0.1,Sun Jul 25 20:21:06 -03 2021,Sun Jul 25 20:21:08 -03 2021,1412195
8,8,0.4,0.01,Sun Jul 25 20:21:09 -03 2021,Sun Jul 25 20:21:10 -03 2021,74
19,0,0.2,0.01,Sun Jul 25 20:21:11 -03 2021,Sun Jul 25 20:21:13 -03 2021,1503717
4,8,0.4,0.05,Sun Jul 25 20:21:14 -03 2021,Sun Jul 25 20:21:15 -03 2021,60
11,8,0.4,0.01,Sun Jul 25 20:21:16 -03 2021,Sun Jul 25 20:21:18 -03 2021,102
16,8,0.2,0.05,Sun Jul 25 20:21:19 -03 2021,Sun Jul 25 20:21:20 -03 2021,88
