id,val,epsilon,univ,query,time_update,time_query,mem_usage,comp_count,comp_mem_avg,value
7,6,0.05,1000000,3551579,5247931,1381450,28412664,0,0,3551580,3551580
6,7,0.01,1000000,1771731,6096960,1143270,28248248,0,0,3531028,3531028
8,5,0.01,1000000,1832153,6103994,926552,28618392,0,0,3577296,3577296
9,6,0.01,10000,3390659,5818569,1442641,27125304,0,0,3390660,3390660
2,3,0.01,100000,3538840,5803169,504587,28618392,0,0,3577296,3577296
9,6,0.05,1000000,3551579,6446029,1472712,28412664,0,0,3551580,3551580
5,3,0.05,100000,3395752,6035646,408102,28618392,0,0,3577296,3577296
3,5,0.2,1000000,3577295,5952987,918292,28618392,0,0,3577296,3577296
4,0,0.1,1000000,2316668,6302121,1044295,18716496,0,0,2339559,2339559
7,7,0.2,100000,1833759,6278741,1124703,27368832,0,0,3421101,3421101
7,5,0.2,1000000,3577295,4180604,734620,28618392,0,0,3577296,3577296
5,3,0.05,10000,3395752,6250334,605419,28618392,0,0,3577296,3577296
3,5,0.1,1000000,298452,6339474,835409,28618392,0,0,3577287,3577296
4,5,0.01,10000,3575411,6062468,1013731,28603320,0,0,3575412,3575412
4,4,0.05,10000,569838,6651826,874309,28602776,0,0,3575344,3575344
6,6,0.1,1000000,857453,6207176,1179643,28412664,0,0,3549079,3551580
4,5,0.01,10000,1832172,6794331,1088222,28603320,0,0,3575412,3575412
2,3,0.01,10000,3538840,6220694,372799,28618392,0,0,3577296,3577296
0,0,0.1,1000000,589780,6571513,902069,18716496,0,0,1441670,2339559
8,0,0.05,10000,2147,6775034,987,192152,0,0,5019,24016
7,5,0.05,100000,2970122,6506533,1003385,28617888,0,0,3577233,3577233
7,7,0.05,10000,1494483,6470027,761982,24744088,0,0,3093008,3093008
7,6,0.2,10000,1182085,6846420,1350485,27125304,0,0,3390660,3390660
8,7,0.01,100000,2586291,6549071,1103049,27368832,0,0,3421101,3421101
4,0,0.01,1000000,1171769,5894553,805240,18716496,0,0,2339559,2339559
0,6,0.2,10000,1182085,6701385,1220598,27125304,0,0,3390660,3390660
7,4,0.2,1000000,1677330,6397850,968121,28618392,0,0,3577296,3577296
5,3,0.2,100000,2859158,6968361,624303,28618392,0,0,3577296,3577296
4,5,0.01,10000,1082162,6489426,1112487,28603320,0,0,3575412,3575412
2,4,0.01,10000,3575343,6422291,871925,28602776,0,0,3575344,3575344
0,0,0.05,10000,2147,5249261,1986,192152,0,0,5019,24016
0,3,0.05,10000,3395752,6722961,419027,28618392,0,0,3577296,3577296
5,3,0.01,1000000,3538840,6224267,616398,28618392,0,0,3577296,3577296
1,6,0.05,1000000,2881517,6712617,1204317,28412664,0,0,3551580,3551580
1,6,0.05,10000,381288,6780344,1112321,27125304,0,0,3390660,3390660
5,0,0.1,10000,17627,6833117,954,192152,0,0,24016,24016
0,4,0.05,1000000,1019924,5968315,1137970,28618392,0,0,3577296,3577296
1,7,0.05,1000000,1004199,6483424,902409,28248248,0,0,3531028,3531028
4,4,0.05,10000,1020025,6894672,1128112,28602776,0,0,3575344,3575344
6,5,0.1,100000,855922,6287688,919083,28617888,0,0,3577233,3577233
8,0,0.2,10000,10322,6637623,953,192152,0,0,24016,24016
8,6,0.1,1000000,1954606,6677205,1311230,28412664,0,0,3551580,3551580
7,7,0.05,1000000,2775409,6359961,1055589,28248248,0,0,3531028,3531028
8,6,0.01,10000,2581989,6904274,1144845,27125304,0,0,3390660,3390660
6,3,0.01,1000000,3538840,6954284,654777,28618392,0,0,3577296,3577296
0,3,0.01,1000000,3538840,6506752,534063,28618392,0,0,3577296,3577296
7,6,0.01,10000,2581989,6504467,1133607,27125304,0,0,3390660,3390660
4,6,0.1,1000000,3040225,6927885,1317929,28412664,0,0,3551580,3551580
6,6,0.2,1000000,2437296,5584849,1320012,28412664,0,0,3551580,3551580
1,7,0.01,100000,2586291,6387694,1146529,27368832,0,0,3421101,3421101
3,3,0.1,10000,3216888,6587656,502725,28618392,0,0,3577296,3577296
7,7,0.05,100000,3358873,6909757,1080319,27368832,0,0,3421101,3421101
5,5,0.05,1000000,2970122,6704928,985723,28618392,0,0,3577296,3577296
1,7,0.05,10000,2453694,7462840,998656,24744088,0,0,3093008,3093008
4,4,0.1,10000,973741,6703456,751576,28602776,0,0,3575344,3575344
1,3,0.2,10000,3577295,6293615,627493,28618392,0,0,3577296,3577296
8,0,0.2,100000,259904,7053715,73753,2114328,0,0,264288,264288
7,0,0.05,10000,11631,6373315,1026,192152,0,0,24016,24016
1,7,0.2,1000000,1763586,6124043,1054161,28248248,0,0,3531028,3531028
9,4,0.05,1000000,569741,6979618,1012613,28618392,0,0,3577296,3577296
3,6,0.01,100000,1774780,6606355,1207890,28177448,0,0,3522178,3522178
3,3,0.2,1000000,2859158,6599748,447048,28618392,0,0,3577296,3577296
8,0,0.05,100000,27050,7089360,73709,2114328,0,0,84759,264288
7,6,0.05,100000,2591403,7163027,1183692,28177448,0,0,3522178,3522178
2,7,0.2,10000,1666939,6258914,858790,24744088,0,0,3093008,3093008
4,4,0.01,1000000,1162873,5812900,874327,28618392,0,0,3577296,3577296
3,4,0.1,1000000,3269255,6815498,958570,28618392,0,0,3577296,3577296
9,4,0.1,100000,396192,5747941,899483,28617720,0,0,3577212,3577212
7,7,0.1,1000000,1891099,6879212,1298224,28248248,0,0,3531028,3531028
0,3,0.01,10000,3538840,7040120,806688,28618392,0,0,3577296,3577296
6,6,0.2,1000000,1463483,7139365,1255784,28412664,0,0,3551580,3551580
9,4,0.01,1000000,3577295,7332789,986981,28618392,0,0,3577296,3577296
2,7,0.01,1000000,1145441,7577943,1473217,28248248,0,0,3531028,3531028
5,0,0.2,100000,112228,6518830,68125,2114328,0,0,264288,264288
0,5,0.05,1000000,3577295,6539528,833252,28618392,0,0,3577296,3577296
9,6,0.05,100000,3522177,7718786,974791,28177448,0,0,3522178,3522178
9,7,0.01,10000,1605542,6858958,1077488,24744088,0,0,3093008,3093008
2,6,0.1,100000,3522177,6895701,1532892,28177448,0,0,3522178,3522178
3,0,0.1,1000000,2050374,6817581,1030138,18716496,0,0,2339559,2339559
6,4,0.01,1000000,2690337,7221313,1011180,28618392,0,0,3577296,3577296
3,5,0.1,1000000,855923,6778983,781180,28618392,0,0,3577296,3577296
8,3,0.1,10000,3577295,6163937,490424,28618392,0,0,3577296,3577296
3,4,0.01,1000000,712605,6556471,764032,28618392,0,0,3577296,3577296
1,4,0.01,10000,1162893,7154357,904029,28602776,0,0,3575344,3575344
9,0,0.1,100000,232327,7430280,103759,2114328,0,0,264288,264288
6,4,0.05,10000,2778730,6618429,866608,28602776,0,0,3575344,3575344
8,0,0.2,1000000,1005800,6132641,771445,18716496,0,0,2339559,2339559
6,0,0.1,100000,146757,6909691,62982,2114328,0,0,264288,264288
8,6,0.01,10000,1142065,6812601,1153214,27125304,0,0,3390660,3390660
7,6,0.05,1000000,1027876,6539572,989017,28412664,0,0,3551580,3551580
2,0,0.1,10000,11260,7010564,995,192152,0,0,24016,24016
2,6,0.1,1000000,3040225,6274016,1306425,28412664,0,0,3551580,3551580
9,3,0.1,100000,3216888,6007723,456322,28618392,0,0,3577296,3577296
6,5,0.1,100000,855922,6739776,933687,28617888,0,0,3577233,3577233
1,3,0.05,1000000,3395752,6688013,408162,28618392,0,0,3577296,3577296
6,5,0.05,100000,3577232,6692971,847998,28617888,0,0,3577233,3577233
