id,val,epsilon,univ,query,time_update,time_query,mem_usage,comp_count,comp_mem_avg,value,weight
0,0,0.1,1000000,124999,6913520,753564,18716496,0,0,315016,2339559
8,5,0.2,1000000,166666,5221077,544614,28618392,0,0,3577279,3577296
2,5,0.01,100000,24999,5150027,674964,28617888,0,0,3576628,3577233
8,6,0.01,100000,16666,6341261,832160,28177448,0,0,3452021,3522178
3,5,0.1,10000,1666,5404853,776142,28603320,0,0,3556388,3575412
7,7,0.05,10000,1249,5150532,741211,24744088,0,0,2332892,3093008
5,3,0.01,1000000,124999,6002868,367483,28618392,0,0,3577296,3577296
3,5,0.05,100000,49999,5837492,690627,28617888,0,0,3577025,3577233
3,3,0.01,100000,49999,6089410,412299,28618392,0,0,3577296,3577296
4,4,0.2,100000,49999,4967246,721460,28617720,0,0,3576994,3577212
3,6,0.2,10000,1666,6683634,756859,27125304,0,0,2647545,3390660
2,3,0.1,100000,99999,4830924,339729,28618392,0,0,3577296,3577296
3,7,0.05,1000000,249999,5223566,970185,28248248,0,0,3474855,3531028
4,7,0.1,10000,1249,4992316,795301,24744088,0,0,2332892,3093008
1,7,0.1,1000000,166666,5332480,976835,28248248,0,0,3452916,3531028
0,3,0.2,10000,2499,5740323,465754,28618392,0,0,3577296,3577296
5,7,0.05,10000,9999,5392275,731287,24744088,0,0,3092953,3093008
1,3,0.1,10000,4999,4935870,478878,28618392,0,0,3577296,3577296
9,5,0.01,1000000,999999,5179271,578616,28618392,0,0,3577296,3577296
6,5,0.1,1000000,166666,5134418,714555,28618392,0,0,3577279,3577296
8,0,0.05,1000000,166666,5069278,830562,18716496,0,0,406042,2339559
1,3,0.1,1000000,166666,5053028,377820,28618392,0,0,3577296,3577296
7,5,0.05,1000000,166666,6294777,760910,28618392,0,0,3577279,3577296
6,4,0.2,1000000,499999,4867087,738172,28618392,0,0,3577296,3577296
3,0,0.05,10000,1249,5440797,948,192152,0,0,3021,24016
2,0,0.01,10000,4999,6390072,965,192152,0,0,12041,24016
5,5,0.01,1000000,249999,5977529,626976,28618392,0,0,3577286,3577296
2,5,0.1,10000,1249,6687949,696855,28603320,0,0,3547772,3575412
3,3,0.2,1000000,249999,6425651,466054,28618392,0,0,3577296,3577296
2,3,0.1,1000000,499999,6440636,446349,28618392,0,0,3577296,3577296
2,7,0.01,100000,12499,5583372,836517,27368832,0,0,3150124,3421101
2,5,0.1,100000,99999,4885959,807194,28617888,0,0,3577233,3577233
6,4,0.05,100000,16666,5001747,745380,28617720,0,0,3576197,3577212
3,3,0.2,10000,9999,5203995,412155,28618392,0,0,3577296,3577296
1,4,0.01,100000,49999,5146405,716312,28617720,0,0,3576994,3577212
6,4,0.01,10000,2499,6201683,708620,28602776,0,0,3566981,3575344
5,6,0.01,100000,16666,6729937,888791,28177448,0,0,3452021,3522178
3,3,0.05,10000,1249,5114693,381188,28618392,0,0,3577296,3577296
8,6,0.05,10000,4999,5764670,883783,27125304,0,0,3227578,3390660
6,6,0.2,10000,1666,4837979,929985,27125304,0,0,2647545,3390660
4,7,0.2,10000,9999,5891611,782158,24744088,0,0,3092953,3093008
3,5,0.01,10000,1666,5073034,699608,28603320,0,0,3556388,3575412
0,0,0.1,1000000,166666,5441538,712015,18716496,0,0,406042,2339559
3,0,0.05,10000,2499,5479192,959,192152,0,0,5916,24016
2,7,0.2,100000,24999,5235427,810850,27368832,0,0,3273316,3421101
3,0,0.1,1000000,999999,6130621,707435,18716496,0,0,2339557,2339559
7,5,0.01,10000,4999,5589496,618881,28603320,0,0,3571916,3575412
6,4,0.05,100000,99999,4804704,790981,28617720,0,0,3577212,3577212
