id,val,epsilon,univ,query,time_update,time_query,mem_usage,comp_count,comp_mem_avg,value,rank
6,5,0.2,10000,1.0,622178,1,312,316,23,10000,3575411
7,6,0.05,10000,1.0,702654,1,1344,295231,23,6028,3333095
3,4,0.05,10000,0.75,753283,0,984,523495,23,15,2778730
0,6,0.1,100000,0.5,632929,1,216,21720,23,232,1898209
4,6,0.01,1000000,0.0,1671095,1,4968,1133679,23,0,511613
6,4,0.01,100000,0.25,2910454,1,10200,1895435,23,2,1162874
1,4,0.01,1000000,0.5,2925088,1,10752,1895217,23,6,1860256
1,3,0.2,10000,0.5,899856,1,1080,2152038,23,6,2859158
3,3,0.2,100000,0.75,897053,1,1080,2152038,23,6,2859158
8,6,0.1,100000,0.0,638707,1,216,21720,23,6,857476
1,0,0.01,100000,0.75,657710,2,2760,136081,23,79830,201306
0,5,0.01,10000,1.0,2861022,2,9840,1836189,23,10000,3575411
9,6,0.05,10000,1.0,696799,1,1344,295231,23,6028,3333095
1,5,0.05,1000000,0.5,744609,1,840,458984,23,6,1987465
8,6,0.01,1000000,0.75,1669004,1,4968,1133679,23,1664,2671132
9,7,0.05,100000,0.0,851236,1,1752,865530,23,0,1009860
8,0,0.01,1000000,0.75,998841,1,2472,1318592,23,736447,1766293
4,0,0.01,100000,1.0,654429,1,2760,136081,23,100000,264287
5,5,0.1,100000,0.25,629218,1,240,16402,23,1,855922
6,0,0.05,1000000,1.0,695881,0,408,1241820,23,1000000,2339558
1,5,0.01,100000,0.75,2838201,2,10200,1836870,23,16,2712332
5,4,0.01,10000,0.5,2934008,2,10752,1902000,23,6,1860276
5,5,0.2,10000,0.0,621998,0,312,316,23,1,1215818
2,7,0.05,100000,1.0,903582,1,1752,865530,23,29300,3358873
0,7,0.05,10000,0.5,855791,1,1848,880485,23,12,1494483
1,0,0.01,1000000,0.5,993428,0,2472,1318592,23,477671,1171769
3,4,0.01,10000,0.5,2955719,1,10752,1902000,23,6,1860276
9,5,0.01,10000,0.5,2902362,2,9840,1836189,23,5,1832172
3,3,0.05,1000000,1.0,2011620,1,4200,3219150,23,17,3577295
1,4,0.1,100000,1.0,638587,0,648,46973,23,99738,3577211
8,7,0.01,1000000,0.75,2036860,2,8112,1375496,23,3118,2663355
9,6,0.05,1000000,1.0,689673,1,504,213470,23,999896,3551579
0,5,0.01,100000,1.0,2850988,1,10200,1836870,23,99513,3577232
7,6,0.05,100000,1.0,689356,1,480,234314,23,99995,3522177
1,5,0.1,1000000,1.0,636389,1,840,16343,23,542196,3577295
3,7,0.01,100000,0.5,2042963,1,8544,1372657,23,136,1728967
5,0,0.1,10000,0.0,613927,1,240,13290,23,1665,5087
6,7,0.01,1000000,0.5,2030088,1,8112,1375496,23,185,1771731
3,0,0.05,10000,0.75,611667,0,432,13317,23,7131,17872
8,3,0.1,1000000,1.0,1266475,1,2112,2861767,23,17,3577295
9,6,0.01,10000,1.0,1704761,1,5328,1142414,23,10000,3390659
4,0,0.2,100000,1.0,623812,1,456,122135,23,96240,259904
8,5,0.01,1000000,0.5,2826580,1,10320,1835851,23,5,1832153
4,0,0.1,1000000,1.0,664081,1,264,1230864,23,979877,2316668
7,7,0.2,100000,0.25,623832,1,216,9352,23,6,1833759
7,6,0.05,1000000,1.0,685986,0,504,213470,23,999896,3551579
4,4,0.05,10000,0.0,749927,1,984,523495,23,1,569838
4,5,0.01,10000,0.5,2837655,1,9840,1836189,23,5,1832172
6,6,0.1,1000000,0.0,639303,1,240,19941,23,6,857453
7,6,0.2,10000,0.0,625915,0,168,56,22,12,1182085
3,5,0.2,1000000,1.0,617210,1,168,261,23,542196,3577295
3,5,0.1,1000000,0.0,634971,1,840,16343,23,0,298452
4,5,0.01,10000,1.0,2830139,1,9840,1836189,23,10000,3575411
5,3,0.05,10000,0.75,1983111,1,4200,3219150,23,6,3395752
0,0,0.1,1000000,0.25,665020,1,264,1230864,23,179957,589780
5,3,0.05,100000,0.5,1975364,1,4200,3219150,23,6,3395752
0,6,0.2,10000,0.25,625167,1,168,56,22,12,1182085
